what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1337674026071
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337674042195
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1337674046431
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1337674060443
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1337674061778
executed,command,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.antShortcut.run",1337674066103
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337674070629
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674099565
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674102071
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1337674117491
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1337674138035
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1337674140842
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674145653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674535076
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674535867
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674573983
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674575677
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337674620362
