what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.300.v20110502,"org.eclipse.equinox.jsp.jasper",1337684116036
started,bundle,org.eclipse.xsd,2.7.0.v20110606-0949,"org.eclipse.xsd",1337684116635
started,bundle,org.eclipse.wst.ws.parser,1.0.403.v201004211805,"org.eclipse.wst.ws.parser",1337684116694
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684119547
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684124239
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684131004
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684136491
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684141242
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684150240
started,bundle,org.eclipse.wst.wsdl,1.2.202.v201108230355,"org.eclipse.wst.wsdl",1337684178103
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1337684178228
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684182699
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684204434
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684210761
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684213414
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684269018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1337684309672
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1337684309855
closed,editor,org.eclipse.ui.browser,3.3.100.v20110426,"org.eclipse.ui.browser.editor",1337684309855
activated,editor,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui.internal.editor.AntEditor",1337684310708
